date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:14	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2004:34:13%20GMT	http://mtown88.com/robots.txt		(from )
12:34:16	12542/12542	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:14%20GMT	http://mtown88.com/	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/index.html	(from )
12:34:19	121200/121200	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Dec%202019%2015:01:24%20GMT	http://mtown88.com/assets/mt2/css/bootstrap.min.css	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/css/bootstrap.min.css	(from http://mtown88.com/)
12:34:20	14020/14020	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2011:38:52%20GMT	http://mtown88.com/assets/mt2/css/mt.css	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/css/mt.css	(from http://mtown88.com/)
12:34:20	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	C:/Users/ACER%20-%20PC/Desktop/a/a/use.fontawesome.com/releases/v5.8.2/css/all.css	(from http://mtown88.com/)
12:34:20	6684/6684	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Dec%202019%2015:01:24%20GMT	http://mtown88.com/assets/mt2/css/flexslider.css	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/css/flexslider.css	(from http://mtown88.com/)
12:34:20	4146/4146	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Dec%202019%2015:01:25%20GMT	http://mtown88.com/assets/mt2/css/pushy.css	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/css/pushy.css	(from http://mtown88.com/)
12:34:23	8808/8808	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:21%20GMT	http://mtown88.com/user/login	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/user/login.html	(from http://mtown88.com/)
12:34:23	11789/11789	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:20%20GMT	http://mtown88.com/user/register	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/user/register.html	(from http://mtown88.com/)
12:34:23	0/0	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:21%20GMT	http://mtown88.com/user/lang/en	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/user/lang/en.html	(from http://mtown88.com/)
12:34:24	0/0	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:22%20GMT	http://mtown88.com/user/lang/cn	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/user/lang/cn.html	(from http://mtown88.com/)
12:34:24	0/0	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:23%20GMT	http://mtown88.com/user/lang/my	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/user/lang/my.html	(from http://mtown88.com/)
12:34:25	84320/84320	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2015:01:27%20GMT	http://mtown88.com/assets/mt2/js/jquery.min.js	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/js/jquery.min.js	(from http://mtown88.com/)
12:34:26	15279/15279	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:23%20GMT	http://mtown88.com/casino	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/casino.html	(from http://mtown88.com/)
12:34:27	19613/19613	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:24%20GMT	http://mtown88.com/slots	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/slots.html	(from http://mtown88.com/)
12:34:27	8386/8386	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2004:34:25%20GMT	http://mtown88.com/sportsbook	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/sportsbook.html	(from http://mtown88.com/)
